,ALink
0,ivete sangalo
313,chiclete com banana
581,banda eva
796,e o tchan
925,claudia leitte
1092,harmonia do samba
1328,ara ketu
1467,daniela mercury
1697,olodum
1771,netinho
1975,asa de aguia
2242,cheiro de amor
2427,timbalada
2566,carlinhos brown
2677,tomate
2755,jammil e uma noites
2896,luiz caldas
3009,margareth menezes
3145,jauperi
3193,babado novo
3342,parangole
3455,psirico
3571,banda grafith
3704,tchakabum
3738,banda mel
3915,black style
3974,chicabana
4060,banda beijo
4137,axe bahia
4157,oz bambaz
4264,rapazolla
4340,tonho materia
4451,alexandre peixe
4510,leva noiz
4549,lucas fellix
4577,saiddy bamba
4655,sharon axe moi
4662,talokudo
4666,ta demais
4672,samir matos
4704,ouro fino
4707,gab ferruz
4710,cannibal
4741,uata anderson
4757,beyonce
5033,bruno mars
5155,rihanna
5400,50 cent
5867,john legend
6035,racionais mcs
6116,michael jackson
6416,alicia keys
6631,black eyed peas
6795,whitney houston
6921,justin timberlake
7059,akon
7393,snoop dogg
7884,chris brown
8508,2pac tupac shakur
8891,kanye west
9183,nicki minaj
9471,ne yo
9778,jennifer lopez
9994,lauryn hill
10054,destinys child
10179,cherish
10222,usher
10484,the pussycat dolls
10541,flo rida
10659,nelly
10830,thalles roberto
10972,fergie
11043,jason derulo
11163,jay z
11480,seu jorge
11587,lil wayne
12279,soulja boy
12515,prince
13100,kirk franklin
13266,ice cube
13504,ciara
13653,brian mcknight
13843,jackson 5
14061,willow smith
14144,desree
14197,baianasystem
14252,kid cudi
14372,jeremih
14410,will smith
14540,pregador luo
14687,jennifer hudson
14776,t i
15019,raiz coral
15076,b o b
15327,taio cruz
15405,ao cubo
15467,meek mill
15592,aaliyah
15689,nicole scherzinger
15790,vinicius d black
15828,stevie b
15872,birdman
15948,negra li
16002,b2k
16089,sergio saas
16156,kevin gates
16293,fabao
16302,yudi
16337,diddy dirty money
16364,ace hood
16449,kash doll
16468,5 elemento
16504,quarteto flg
16542,tendekasha
16552,natt maat
16561,franky fade
16570,m v p
16580,the boy
16594,heloisa alves
16595,leticia borges
16600,melvin santhana
16608,elvis presley
17367,john mayer
17518,amy winehouse
17588,the rolling stones
18026,michael buble
18205,eric clapton
18634,bob dylan
19192,the doors
19327,norah jones
19523,janis joplin
19636,fleetwood mac
19888,bill withers
19975,lynyrd skynyrd
20141,jimi hendrix
20270,etta james
20363,nick cave the bad seeds
20670,bb king
21041,johnny rivers
21201,the black keys
21353,gary moore
21520,little richard
21566,vaughan stevie ray
21636,the band
21823,muddy waters
21913,sambora richie
21956,cream
22017,buddy guy
22072,gary clark jr
22108,joe bonamassa
22166,john lee hooker
22221,rory gallagher
22311,ivo goncalves
22357,the allman brothers band
22499,howlin wolf 11
22564,albert king
22605,willie dixon
22637,jimmy reed
22710,taj mahal
22732,andre christovam
22740,hugh laurie
22770,john mayalls bluesbreakers
22822,vini vercillo
22825,blind arthur blake
22835,the self escape
22849,son house
22879,elmore james
22929,mississippi john hurt
22949,jonny lang
23017,brian setzer orchestra
23118,captain beefheart
23180,screamin jay hawkins
23201,mecanica
23246,o mormaco severino
23249,joanne shaw taylor
23252,johnny guitar watson
23259,banda morfina
23260,ida cox
23285,dezert sons
23290,chico buarque
23738,tom jobim
23945,elis regina
24297,vinicius de moraes
24457,maria rita
24597,joao gilberto
24721,nara leao
24936,maysa
25134,marcos valle
25268,kings of convenience
25333,wilson simonal
25473,geraldo vandre
25535,elizeth cardoso
25888,sergio mendes
25954,agostinho dos santos
26168,carlos lyra
26377,joao donato
26491,roberto menescal
26574,leny andrade
26721,nayara portela
26756,sylvia telles
26790,dabossa
26799,alaide costa
26884,potsu
26895,bianca costa
26897,eevee
26910,gilberto franca
26921,jeferson netto
26922,familia da musica
26932,pp macedo
26934,moby
27085,kali uchis
27162,groove armada
27210,royksopp
27255,air
27340,atb
27420,flight facilities
27438,thievery corporation
27479,zero7
27518,whilk and misky
27522,chicane
27546,delerium
27604,parov stelar
27610,ac dc
27814,george harrison
28006,the alan parsons project
28163,ringo starr
28406,ivan lima
28407,juliana kosso
28423,capitao nemo
28437,mamilo mandala
28447,doctor x
28454,pink floyd
28662,andrea bocelli
28902,disney
29442,enya
29571,luciano pavarotti
29711,josh groban
29874,il divo
29967,il volo
30070,epica
30204,sarah brightman
30473,the phantom of the opera
30537,titanic
30539,mozart
30585,harry potter
30604,beethoven
30611,placido domingo
30658,tarja turunen
30782,robert pattinson
30796,susan boyle
30874,the 3 tenors
30905,frederic chopin
30909,antonio vivaldi
30910,laura garcia
30911,jose josue
30942,taylor swift
31329,shania twain
31442,ludmila ferber
31679,creedence clearwater revival
31746,johnny cash
32303,chitaozinho e xororo
32780,alan jackson
33056,eagles
33151,victor leo
33332,paula fernandes
33570,naiara azevedo
33694,lady a
33827,hugo pena e gabriel
33942,joao bosco e vinicius
34124,edson e hudson
34353,joao carreiro capataz
34509,dolly parton
35232,willie nelson
35516,blake shelton
35681,thaeme e thiago
35801,rascal flatts
35956,carrie underwood
36120,faith hill
36242,garth brooks
36433,george strait
36799,dan shay
36850,matanza
36945,brad paisley
37096,munhoz e mariano
37215,keith urban
37377,marco brasil
37702,florida georgia line
37792,the chicks dixie chicks
37884,kenny chesney
38083,the band perry
38113,billy ray cyrus
38259,merle haggard
38506,wanda jackson
38673,waylon jennings
39056,eduardo araujo
39094,hank williams
39259,zac brown band
39345,alabama
39536,brooks dunn
39617,the highwaymen
39631,brenda lee
39792,the byrds
39938,chris young
40045,dallas country
40067,glen campbell
40286,marilia dutra
40307,miranda lambert
40432,martina mcbride
40584,norman blake
40586,ricky nelson
40737,patsy cline
40857,george jones
41391,don henley
41458,jennette mccurdy
41496,judds
41584,sara evans
41666,alexander ludwig
41672,cowboy junkies
41810,nathalia siqueira
41843,ayla
41852,paul brandt
41932,charlie feathers
41954,nitty gritty dirt band
42057,jake owen
42091,gary le vox
42092,bek e os tio de fusca
42093,lyle lovett
42236,leonardo arantes
42255,tenneessee ford
42299,ward thomas
42321,desert rose band
42366,erich e bruno
42383,skeeter davis
42549,west rocky
42565,bill monroe
42916,flying burrito brothers
42962,milton nunes
42989,henrique linhares
42995,chuck wicks
43006,hank snow
43095,anitta
43244,justin bieber
43522,lady gaga
43803,ariana grande
43992,shakira
44184,katy perry
44384,alok
44477,one direction
44602,mariah carey
44905,avicii
45012,miley cyrus
45311,demi lovato
45536,madonna
45914,britney spears
46235,cyndi lauper
46467,abba
46633,jessie j
46762,selena gomez
46955,david guetta
47175,backstreet boys
47388,the chainsmokers
47453,calvin harris
47556,lulu santos
47838,enrique iglesias
48012,cher
48321,xuxa
48864,pet shop boys
49163,kesha
49390,jonas brothers
49564,stromae
49612,boney m
49744,dj tiesto
49905,high school musical
49960,swedish house mafia
49998,pitbull
50262,ricky martin
50434,village people
50454,dj snake
50508,haddaway
50528,gigi dagostino
50624,rick astley
50724,pabllo vittar
50789,rebelde rede record
50855,the wanted
50923,new order
51054,kylie minogue
51476,psy
51519,carly rae jepsen
51637,major lazer
51723,thalia
52010,latino
52139,wanessa camargo
52307,bob sinclar
52366,will i am
52455,kelly key
52544,dulce maria solo
52636,akcent
52766,jamiroquai
52880,dirty dancing
52896,zendaya
52946,anahi
53045,ashley tisdale
53144,victoria justice victorious
53197,rouge
53270,inna
53435,double you
53475,far east movement
53546,lasgo
53599,snap
53621,o zone
53655,lmfao
53699,armin van buuren
53855,camp rock
53885,forro do muido
54082,hilary duff
54201,aqua
54247,yelle
54299,vanessa hudgens
54351,girls generation
54599,emily osment
54641,noel
54654,moony
54664,alexandra stan
54727,whigfield
54778,cody simpson
54917,djavu
54966,kasino
54989,the underdog project
55017,guru josh project
55024,edward maya
55050,larissa manoela
55094,milena stepanienco
55124,die antwoord
55213,magic box
55223,casi angeles
55319,ian van dahl
55352,electronic
55396,cher lloyd
55458,basshunter
55548,deee lite
55588,miranda cosgrove
55627,september
55689,pixie lott
55793,lorena simpson
55816,cascada
55909,tikos groove
55917,yang tiuti
55927,dj antoine
55973,john martin
55982,martin solveig
56016,floribella
56051,2ne1
56154,jax jones
56178,gabry ponte
56221,bratz
56261,dev
56338,natalia kills
56395,alex gaudino
56419,isa tkm
56452,ze mariano junior
56524,christopher uckermann
56555,mashup germany
56580,dj pv
56602,yolanda be cool
56610,yves larock
56620,real mccoy
56638,the saturdays
56729,luciana
56768,dj earworm
56798,vremya i steklo
56803,nxt
56804,florida inc
56809,nicola roberts
56826,hyuna
56878,lolla poderosa
56890,malifoo
56905,the cab
56944,china anne mcclain
56969,keke palmer
57074,shanell
57169,darkside nicolas jaar dave harrington
57186,milk inc
57253,zabot
57263,ian carey pres the good guys
57283,markus schulz
57319,powered djs
57328,jair vanise
57344,sak noel
57348,bee gees
57902,gloria gaynor
57940,temptations
58096,earth wind and fire
58285,barry white
58337,diana ross
58695,k c and the sunshine band
58719,donna summer
58936,tina charles
58961,the isley brothers
59077,chic
59127,grace jones
59220,giorgio moroder
59261,sister sledge
59272,the s o s band
59279,anita ward
59282,ike turner
59313,the trammps
59318,sylvester
59323,wilson pickett
59366,andrea true connection
59372,celina santana
59382,metrolboy
59404,sia
59603,ellie goulding
59753,vintage culture
59804,tove lo
59892,clean bandit
59937,daft punk
60038,marshmello
60119,t a t u
60202,martin garrix
60278,bruno martini
60312,zedd
60367,massive attack
60433,skrillex
60518,benny benassi
60584,bjork
60798,prodigy
60929,sigala
60948,owl city
61073,m i a
61195,hooverphonic
61313,summer eletrohits
61345,the chemical brothers
61436,portishead
61491,dj shadow
61527,kraftwerk
61611,fatboy slim
61701,above beyond
61761,afrojack
61863,jawsh 685
61867,deadmau5
61976,3oh3
62064,videoclub
62068,moloko
62119,cobra starship
62176,faithless
62228,gui boratto
62240,nicky romero
62292,infected mushroom
62372,jean michel jarre
62522,troyboi
62527,samantha machado
62555,dj eskimo
62566,nervo
62611,ladytron
62694,sesto sento
62705,lcd soundsystem
62749,brian eno
62859,mashup
62925,hot chip
63016,electric guest
63038,house boulevard
63041,sebastian ingrosso alesso
63043,cobrah
63055,neon hitch
63122,felguk
63167,bag raiders
63171,ncs
63195,gbaby
63203,miike snow
63236,ale porto
63237,emma hewitt
63250,jeffree star
63310,basement jaxx
63387,enter shikari
63451,klaas
63473,paul van dyk
63511,oh land
63544,cut copy
63588,the crystal method
63602,larissa lahw
63608,dj fresh
63624,nero
63643,showtek
63658,fernando castello
63662,katy b
63719,eric saade
63775,chase and status
63795,the young luiz
63796,avoure
63797,chris lake
63804,malik mustache
63806,kdrew
63826,brokencyde
63901,gabys
63912,dj ralk
63913,mylo
63920,niki the dove
63946,flunk
63986,marcinho dj
63991,fresno
64174,tokio hotel
64305,black veil brides
64401,sleeping with sirens
64484,hevo84
64544,escape the fate
64636,the used
64780,dashboard confessional
64904,catch side
64970,hori
65002,agnela
65032,drive
65076,afi
65286,funeral for a friend
65399,beeshop
65438,blessthefall
65511,fake number
65553,taking back sunday
65648,alesana
65738,finch
65804,offline
65829,emoponto
65884,the word alive
65940,etna
65964,hateletters
65974,amalia rodrigues
66288,roberto leal
66588,ana moura
66695,mariza
66793,dulce pontes
66881,camane
66981,ed sheeran
67205,jack johnson
67340,james blunt
67453,leonard cohen
67619,florence and the machine
67756,anavitoria
67833,eddie vedder
67889,passenger reino unido
68026,ze ramalho
68262,the lumineers
68324,kodaline
68380,birdy
68465,vance joy
68500,neil young
69017,damien rice
69106,mumford sons
69177,bon iver
69244,sufjan stevens
69431,clarice falcao
69485,zeeba
69509,jethro tull
69835,ben howard
69901,renato teixeira
70122,mallu magalhaes
70223,14 bis
70344,mamas papas
70407,loreena mckennitt
70482,van morrison
70982,beirut
71059,regina spektor
71226,jake bugg
71308,jose gonzalez
71347,a banda mais bonita da cidade
71397,joni mitchell
71618,marcela tais
71646,edward sharpe and the magnetic zeros
71690,vanguart
71791,gabriel sater
71815,dropkick murphys
71979,ray lamontagne
72051,jewel
72305,pogues
72416,nick drake
72484,never shout never
72597,buffalo springfield
72635,wilco
72827,joan baez
73160,peter paul and mary
73193,amos lee
73246,elliott smith
73408,agridoce
73427,dubliners
73490,father john misty
73548,first aid kit
73613,john prine
73790,pete seeger
73808,iron wine
73933,fleet foxes
73994,eluveitie
74076,the head and the heart
74105,devendra banhart
74286,little joy
74299,dexys midnight runners
74331,james vincent mcmorrow
74361,my morning jacket
74488,aimee mann
74674,matt nathanson
74752,laura marling
74847,leadbelly
74870,neutral milk hotel
74932,richard thompson
75203,noah and the whale
75240,guthrie woody
75321,john martyn
75371,luamarte
75384,korpiklaani
75482,rogerio godoy
75490,
75491,yael naim
75520,josh rouse
75586,judy collins
75687,dawes
75728,the duke spirit
75748,carlos walker
75788,sandy denny
75939,jj heller
75990,jonavo
76015,off the king
76023,sandrera
76040,little nation
76055,henrique campos
76064,feito cafe
76069,calcinha preta
76385,banda magnificos
76597,luiz gonzaga
77149,wesley safadao
77659,eduardo costa
77984,avioes do forro
78622,mastruz com leite
79025,ze vaqueiro
79069,limao com mel
79318,falamansa
79447,desejo de menina
79591,elba ramalho
79856,flavio jose
80056,dominguinhos
80346,washington brasileiro
80424,tarcisio do acordeon
80453,zezo
80510,saia rodada
80754,mano walter
80918,felipe amorim
80923,vitor fernandes
80964,santanna o cantador
81032,trio chapahalls
81073,bonde do forro
81171,dorgival dantas
81287,amelinha
81396,caju castanha
81508,pepe moreno
81533,gatinha manhosa
81736,rastape
81812,genival lacerda
82019,trio nordestino
82416,frank aguiar
82523,cavaleiros do forro
82718,solteiroes do forro
82890,moleca 100 vergonha
83023,banda cavalo de pau
83119,companhia do calypso
83296,circulado de fulo
83362,banda libanos
83441,forrozao tropykalia
83521,os 3 do nordeste
83835,roberio e seus teclados
83863,caviar com rapadura
83928,bicho de pe
83974,jackson do pandeiro
84267,arreio de ouro
84339,bonde do maluco
84386,mala 100 alca
84489,marines
84681,forro lagosta bronzeada
84725,alcymar monteiro
84776,forro real
84896,petrucio amorim
84960,joao do vale
84984,forro sacode
85066,rasta chinela
85122,forro saborear
85195,tiririca
85217,forro boys
85262,felipao e forro moral
85335,furacao do forro
85423,duquinha e nordestino do ritmo
85464,lucy alves
85506,ton oliveira
85542,forro bemtivi
85565,geraldinho lins
85678,forrueiros
85716,forro anjo azul
85782,mestre zinho
85882,trio virgulino
85969,rogerio farias o poeta do sertao
85989,banda 100 stress
86069,catuaba com amendoim
86093,sivuca
86120,trio forrozao
86193,forro pegado
86280,stefhany
86358,henrique land
86361,trio dona zefa
86398,eldo cardoso
86402,fabricia
86406,ytalo paulo
86409,batista lima
86426,bia socek
86442,banda tarraxinha
86469,luan e forro estilizado
86536,luana magalhaes
86538,fabio carneirinho
86576,louro santos e forro da malagueta
86615,rhaissa
86622,onildo barbosa e seus cabras da peste
86647,kelly freitas eletrica
86651,black do acordeon
86669,forro karamelado
86685,ferro na boneca
86777,forro balancear
86850,gavioes do forro
86872,alberto salgado
86887,forro pe de ouro
86949,rodrigo dsa e os serafins
86956,estakazero
87042,isabela serpa
87043,cacau com leite
87068,calango aceso
87239,danny e banda mega star
87251,forro estourado
87279,potigua
87323,jorge luiz da silva
87377,trio juriti
87421,gilvan nascimento
87469,israell muniz
87481,larissa emilly
87486,marilia marques
87508,jp santos
87513,lucas pavani
87518,os 4
87529,edimilson rodrigues
87547,penalva
87569,banda calugi
87572,banda cebola ralada
87590,jhony cinco
87606,stevie wonder
87860,james brown
87950,ed motta
88089,sandra de sa
88271,george benson
88326,claudio zoli
88359,charles bradley
88384,sly and the family stone
88424,zapp
88440,wild cherry
88443,curtis mayfield
88464,gap band
88490,funkadelic
88582,shalamar
88592,isaac hayes
88618,the brothers johnson
88624,average white band
88679,incognito
88793,mc cupido
88794,mc kolos
88801,gerson king combo
88830,bryan tiller
88869,eric dogmal
88879,bootsy collins
88893,kc paredao
88896,ohio players
88906,lakeside
88911,mariah marini
88919,toni tornado
88929,sharon jones the dap kings
88942,funk u
88947,skowa e a mafia
88957,mc luck original
88958,mayckin ferraz
88960,lu leite
88972,mc vareta
88987,diogotda
88990,melk max
88995,ludmilla
89096,mc livinho
89202,mc kevin
89291,furacao 2000
89349,mr catra
89447,mc marcelly
89535,mc daleste
89649,mc hariel
89736,mc lan
89762,mc felipe boladao
89802,mc poze do rodo
89807,claudinho buchecha
89881,mc marcinho
89976,mc neguinho do kaxeta
90027,mc carol
90053,os hawaianos
90133,gaiola das popozudas
90193,mc creu funk
90210,mc magrinho
90239,bob rum
90260,pocah
90309,mc orelha
90325,menor do chapa
90387,naldo
90454,mc g15
90472,mc rodolfinho
90514,mc smith
90556,kevinho
90600,mcs cidinho e doca
90631,valesca popozuda
90649,tati quebra barraco
90697,mc gil do andarai
90719,mc guime
90788,pikeno e menor
90829,dj marlboro
90899,bonde do tigrao
90948,mc martinho
90962,mc lon
91028,mc frank
91074,bonde das maravilhas
91106,perlla
91177,mc leozinho
91219,mc kauan
91253,mc kelvinho
91316,mc katia
91364,sapao
91398,mcs samuka e nego
91406,mulher melancia
91417,deize tigrona
91427,gorila e preto
91441,mc nego blue
91476,mc primo
91499,mc zoi de gato
91508,jonathan costa
91525,mc byana
91543,andrezinho shock
91562,buchecha
91629,mc ticao
91648,mc wm
91672,mc gui
91699,renatinho e alemao
91705,mc vitinho
91717,mc duduzinho
91782,mc magico
91788,mc max
91808,mc dede
91867,mc dido
91885,mc boy do charme
91912,mc buiu
91927,mulher file
91939,mc joaozinho vt
91948,mc tati zaqui
91984,mc sabrina
92031,mc menorzinha
92056,mc brinquedo
92070,mc romeu
92090,mc frank e mulher melao
92096,pancadao do caldeirao do huck
92126,mc mascote
92140,mc bruninho
92148,mc k9
92185,mc tevez
92198,bola de fogo
92211,mc g3
92225,mc g7
92241,mc luan
92273,neguinho do caxeta
92289,mc leozinho do recife
92321,jerry smith
92347,mc koringa
92384,mc zaquin
92388,mc bola
92403,os cacadores
92426,mc careca
92447,vinicius e andinho
92455,mc galo
92470,duda do marape
92490,mc roba cena
92512,mc biju
92524,mc copinho
92533,mc pele
92550,bonde do role
92593,mc pe de pano
92599,mc ale soares
92600,mc gibi
92615,os ousados
92628,mc cezareth
92640,bonde do vinho
92675,mc yuri bh
92686,mc diguinho
92697,priscila nocetti
92714,mc ombrinho
92718,mc biruleibe
92723,mc jenny
92730,hitmaker
92737,mc jefinho
92755,mc godo
92766,jaula das gostosudas
92785,leandro e as abusadas
92798,mc maiquinho
92824,mc fioti
92843,os avassaladores
92854,david bolado
92881,mc dodo
92891,caroline miranda
92892,mc cacau
92907,mc marcio g
92927,mc suzy
92937,mulher gato
92948,mc karyne da provi
92952,dj thiago
92962,mc princesa e plebeu
92968,mc guga da vg
92969,mc tartaruga
92972,mc delley
92984,justiceiras do funk
92993,bonde da oskley
93009,mc robinho de prata
93017,os bad boys funk
93026,mc juninho
93044,mr mu
93056,veronica costa
93064,mc wc
93085,mc renan
93088,mc islaibe
93089,mc vine
93098,dj cris
93099,gepe mc
93107,harpa crista
93682,cancao nova
93823,musicas catolicas
94174,corinhos evangelicos
94252,aline barros
94670,hillsong united
95365,padre zezinho
96078,andre valadao
96262,cassiane
96611,musicas gospel
97010,shirley carvalhaes
97398,diante do trono
98051,fernandinho
98190,lauriete
98502,rose nascimento
98756,fernanda brum
99040,gerson rufino
99284,vanilda bordieri
99528,mara lima
99798,anderson freire
99917,damares
100077,gabriela rocha
100154,eyshila
100404,bruna karla
100569,padre marcelo rossi
100746,voz da verdade
101114,ademar de campos
101250,cantor cristao
101630,ministerio toque no altar
101748,renascer praise
102010,mattos nascimento
102204,lauren daigle
102248,elia oliveira
102413,jesse aguiar
102428,rosa de saron
102593,fabio de melo
102823,igreja crista maranata
103130,daniel e samuel
103424,nivea soares
103547,soraya moraes
103706,ministerio jovem
103902,david quinlan
104014,nani azevedo
104118,kleber lucas
104334,ministerio koinonya de louvor
104518,colecao amo voce
104666,j neto
104896,ministerio trazendo a arca
105018,comunidade catolica shalom
105266,oseias de paula
105442,lea mendonca
105597,padre reginaldo manzotti
105722,anjos de resgate
105838,elaine martins
105969,catedral
106230,eliana ribeiro
106293,skillet
106444,sergio lopes
106675,casting crowns
106803,regis danese
106937,cristina mel
107357,marcos antonio
107537,davi sacer
107637,elaine de jesus
107828,padre antonio maria
107970,danielle cristina
108077,lazaro
108201,jeremy camp
108345,michelle nascimento
108439,jozyanne
108571,adriana arydes
108703,suellen lima
108843,agnus dei
108933,paulo cesar baruk
109068,chris tomlin
109191,heloisa rosa
109278,andrea fontes
109476,adoracao adoradores
109526,alice maciel
109606,kemuel
109670,jotta a
109726,amanda ferrari
109829,irma kelly patricia
109985,ministerio adoracao e vida
110048,michael w smith
110289,oficina g3
110424,padre jonas abib
110573,julia vitoria
110585,armando filho
110682,leonardo goncalves
110784,silvan santos
110818,eliane silva
110960,elias silva
111062,flordelis
111145,toca de assis
111221,celina borges
111293,rayssa e ravel
111510,junior
111655,beatriz andrade
111771,vida reluz
111853,marquinhos gomes
111940,criancas diante do trono
112018,arianne
112092,rozeane ribeiro
112216,mara dalila
112407,luiz de carvalho
112530,prisma brasil
112750,asaph borba
112879,newsboys
113037,noemi nonato
113252,raquel silva
113298,chagas sobrinho
113362,apocalipse 16
113488,padre joaozinho
113540,red
113624,marcos goes
113753,ton carfi
113851,livres para adorar
113910,jair pires
113966,congregacao crista no brasil
114052,alda celia
114163,priscilla alcantara
114242,switchfoot
114437,p o d
114580,gisele nascimento
114688,marco aurelio
114778,vencedores por cristo
115055,grupo logos
115171,celia sakamoto
115285,giselli cristina
115401,walmir alencar
115474,vineyard
115926,ministerio apascentar de foz do iguacu
116048,testemunhas de jeova
116188,alvaro tito
116276,4x1
116387,ziza fernandes
116500,cancoes de vida
116512,ministerio sarando a terra ferida
116589,tangela vieira
116643,arautos do rei
116866,pr melvim
116903,comunhao e adoracao
116935,amy grant
117151,deusiane oliveira
117172,hinos sud
117393,feliciano amaral
117482,cicero nogueira
117568,melissa
117691,jamily
117813,jesus culture
117944,rodolfo abrantes
117994,gislaine e milena
118067,mercy me
118236,andre e felipe
118310,raquel mello
118387,third day
118561,vineyard brasil
118640,suellen brum
118655,jairo bonfim
118729,pg
118850,mara maravilha
119126,mensagem brasil
119169,grupo fogo no pe
119200,voices
119331,ministerio pedras vivas
119382,discopraise
119433,gerson cardozo
119526,missionario shalom
119621,sofia cardoso
119703,padre joao carlos
119782,banda louvor e gloria
119840,pamela
119971,kari jobe
120062,comunidade internacional da zona sul
120165,os levitas
120259,tamires nascimento
120283,rodox
120312,adilson silva
120400,ariely bonatti
120487,alessandra samadello
120644,filhos do homem
120748,cassiane jairinho
120831,luiz claudio gospel
120867,robinson monteiro
120959,fernando iglesias
121050,marcos witt
121181,amara cerqueira
121191,ze marco e adriano
121263,toby mac
121366,ministerio ipiranga
121433,lecrae
121524,georgete rocha
121590,padre juarez de castro
121656,aline brasil
121705,gisele cristina
121742,daniel ludtke
121804,resgate
121928,marcelo crivella
122058,wilian nascimento
122140,rafaela pinho
122207,dunga
122279,igreja batista de nova jerusalem
122363,valquiria de oliveira
122441,fernanda brum e eyshila
122463,conceicao cabral
122510,padre agnaldo jose
122552,coral resgate
122601,stryper
122700,mariana valadao
122780,kim
122920,igreja batista da lagoinha
123074,tony e tito
123139,daniela araujo
123217,shirley kaiser
123293,warren barfield
123322,cleidimar moreira
123343,debora e leia
123407,santa geracao
123533,adriana ribeiro
123604,daniel souza
123676,marcelo nascimento
123754,bruna olly
123831,marcelo aguiar
123890,leonor
123928,equipe obra de amor
123979,chris duran
124067,gaither vocal band
124200,demon hunter
124304,som e louvor
124390,igreja batista do morumbi
124402,altos louvores
124484,ricardo sa
124577,marcia bandeira
124678,lydia moises
124768,banda dom
124802,projeto vida nova de iraja
124864,jesus adrian romero
124997,antonio cirilo
125112,diacono nelsinho correa
125165,raquel santiago
125169,paulo andre
125215,gerusa barros
125267,pimentas
125319,alex gonzaga
125367,denise cerqueira
125435,fireflight
125507,the caravans
125512,paulo figueiro
125570,brooke fraser
125632,josyane menezes
125639,trio nascimento
125666,iveline
125744,eros biondini
125825,salette ferreira
125855,cantores de deus
125907,canarinhos de cristo
125972,palavrantiga
126001,dalvinha
126054,nova voz
126098,turma do barulho
126160,flyleaf
126252,flavinho
126291,ministerio uncao agape
126345,radicais kids
126383,padre ezequiel dal pozzo
126416,12 stones
126491,lucely uchoa
126524,sandi patty
126739,alceu pires
126757,grupo ellas
126837,britt nicole
126900,bola de neve church
126975,arttrio
127021,sandrinha
127126,banda leao de juda resgatados
127131,bruna barbosa
127156,renato suhett
127223,marcio pinheiro
127275,henrique cerqueira
127352,fred arrais
127401,dominic balli
127438,liz lanne
127546,promises
127592,suely facanha
127673,paloma gomes
127682,marcelo dias e fabiana
127746,kingdom movement
127749,marta valeria
127776,diego fernandes
127806,point of grace
127950,igreja biblica da paz
128026,debora e ereni
128084,niquesia santos
128164,juliana santiago
128189,comunidade evangelica de maringa
128236,adrielle lopes
128269,tatiana costa
128294,ministerio alem do veu
128323,keila miranda
128352,eunice ferreira
128357,stace orrico
128421,priscilla gollub
128462,miria mical
128493,fruto sagrado
128563,khorus
128661,thayara
128686,barlowgirl
128749,leo jundi
128816,paula roma
128831,delirious
128971,banda mundial
128996,obede e taina
129017,cantora eliziane
129021,fernanda lara
129069,marina de oliveira
129269,gabriela rocha elias dos santosirmaos na fe
129282,damaris
129305,jaci velasquez
129463,rebeca carvalho
129475,cricia martins
129487,fabyano barcellos
129496,sostenes mendes
129548,thiago grulha
129604,alexandre bernardino
129636,karla monteiro
129655,jeanne mascarenhas
129728,lucas souza
129784,luiz artur
129828,eterna
129890,ministerio trindade santa
129895,take 6
129977,ministerio nova geracao
130006,cantor jesse santos
130037,dominus
130091,joe vasconcelos maravilhado
130129,proverbio x
130181,ministerio uncao de deus
130210,luciano santhiago
130226,jose carlos
130270,doidin de deus
130304,atmosfera de adoracao
130347,davi silva
130399,grupo acorde
130419,rede ativa
130475,arthur callazans
130480,ministerio novo tempo
130520,adriana marques
130565,arena louvor
130621,alex alex
130675,as i lay dying
130765,coral resgate para vida
130809,roberta di angellis
130844,reginaldo domingos
130853,selah
130923,brenda dos santos
130954,ministerio asas da adoracao
130975,midia reis
130981,metal nobre
131032,deise do vale
131065,mylla karvalho
131110,eduardo cardozo
131131,marcia silva
131183,padre leo
131193,vanilda albuquerque
131216,dany grace
131269,ministerio estrategia
131284,dj alpiste
131354,cris deziro
131389,dayane damasceno
131399,silvio doria
131405,banda giom
131468,cinthya miranda
131473,ludi
131479,leeland
131546,nadson portugal
131564,andy mineo
131593,for today
131651,heritage singers
131736,laura morena
131765,wladia leyliane
131790,giesley mota
131846,andre e thiago arrais
131873,alyne couto
131887,nivea silva
131928,daniel costa
131960,the edwin hawkins singers
131973,melosweet
132031,laercio oliveira
132068,gilson campos
132099,kutless
132209,graziela
132242,underoath
132323,pr marco feliciano
132338,jessyca
132368,pra tua gloria
132373,ilan music
132380,marsena
132394,leia sora
132429,vcd voz que clama no deserto
132440,jimmy needham
132492,shekinah rap
132510,turma da sandrinha
